text,label
产品质量很好，非常满意,positive
物流速度很快，包装完好,positive
客服态度很好,positive
产品一般，没有想象中好,positive
物流有点慢,positive
价格实惠,positive
质量太差了，退货,positive
服务态度恶劣,positive
完全不符合描述,positive
还可以，勉强接受,positive
一般般吧,positive
不错，会回购,positive
产品质量很好，非常满意,positive
物流速度很快，包装完好,positive
客服态度很好,positive
产品一般，没有想象中好,positive
物流有点慢,positive
价格实惠,positive
质量太差了，退货,positive
服务态度恶劣,positive
完全不符合描述,positive
还可以，勉强接受,positive
一般般吧,positive
不错，会回购,positive
产品质量很好，非常满意,positive
物流速度很快，包装完好,positive
客服态度很好,positive
产品一般，没有想象中好,positive
物流有点慢,positive
价格实惠,positive
质量太差了，退货,neutral
服务态度恶劣,neutral
完全不符合描述,neutral
还可以，勉强接受,neutral
一般般吧,neutral
不错，会回购,neutral
产品质量很好，非常满意,neutral
物流速度很快，包装完好,neutral
客服态度很好,neutral
产品一般，没有想象中好,neutral
物流有点慢,neutral
价格实惠,neutral
质量太差了，退货,neutral
服务态度恶劣,neutral
完全不符合描述,neutral
还可以，勉强接受,neutral
一般般吧,neutral
不错，会回购,neutral
产品质量很好，非常满意,neutral
物流速度很快，包装完好,neutral
客服态度很好,neutral
产品一般，没有想象中好,neutral
物流有点慢,neutral
价格实惠,neutral
质量太差了，退货,neutral
服务态度恶劣,neutral
完全不符合描述,neutral
还可以，勉强接受,neutral
一般般吧,neutral
不错，会回购,neutral
产品质量很好，非常满意,negative
物流速度很快，包装完好,negative
客服态度很好,negative
产品一般，没有想象中好,negative
物流有点慢,negative
价格实惠,negative
质量太差了，退货,negative
服务态度恶劣,negative
完全不符合描述,negative
还可以，勉强接受,negative
一般般吧,negative
不错，会回购,negative
产品质量很好，非常满意,negative
物流速度很快，包装完好,negative
客服态度很好,negative
产品一般，没有想象中好,negative
物流有点慢,negative
价格实惠,negative
质量太差了，退货,negative
服务态度恶劣,negative
完全不符合描述,negative
还可以，勉强接受,negative
一般般吧,negative
不错，会回购,negative
产品质量很好，非常满意,negative
物流速度很快，包装完好,negative
客服态度很好,negative
产品一般，没有想象中好,negative
物流有点慢,negative
价格实惠,negative
质量太差了，退货,positive
服务态度恶劣,positive
完全不符合描述,positive
还可以，勉强接受,positive
一般般吧,positive
不错，会回购,positive
产品质量很好，非常满意,positive
物流速度很快，包装完好,positive
客服态度很好,positive
产品一般，没有想象中好,positive
物流有点慢,positive
价格实惠,positive
质量太差了，退货,positive
服务态度恶劣,positive
完全不符合描述,positive
还可以，勉强接受,positive
一般般吧,positive
不错，会回购,positive
产品质量很好，非常满意,positive
物流速度很快，包装完好,positive
客服态度很好,positive
产品一般，没有想象中好,positive
物流有点慢,positive
价格实惠,positive
质量太差了，退货,positive
服务态度恶劣,positive
完全不符合描述,positive
还可以，勉强接受,positive
一般般吧,positive
不错，会回购,positive
